"id" "var" "value"
"1" 111003 "Farmers" 5
"2" 111008 "Farmers" 5
"3" 111009 "Farmers" 2
"4" 111017 "Farmers" 5
"5" 111023 "Farmers" 5
"6" 111026 "Farmers" 3
"7" 111027 "Farmers" 2
"8" 111029 "Farmers" 3
"9" 111037 "Farmers" 2
"10" 111048 "Farmers" 1
"11" 111057 "Farmers" 5
"12" 111074 "Farmers" 5
"13" 111079 "Farmers" 2
"14" 111080 "Farmers" 2
"15" 111084 "Farmers" 1
"16" 111088 "Farmers" 2
"17" 111099 "Farmers" 2
"18" 111001 "Neighbor/friend" 2
"19" 111003 "Neighbor/friend" 2
"20" 111005 "Neighbor/friend" 5
"21" 111011 "Neighbor/friend" 5
"22" 111013 "Neighbor/friend" 5
"23" 111014 "Neighbor/friend" 5
"24" 111015 "Neighbor/friend" 5
"25" 111016 "Neighbor/friend" 5
"26" 111020 "Neighbor/friend" 4
"27" 111021 "Neighbor/friend" 1
"28" 111022 "Neighbor/friend" 3
"29" 111029 "Neighbor/friend" 3
"30" 111037 "Neighbor/friend" 2
"31" 111043 "Neighbor/friend" 4
"32" 111048 "Neighbor/friend" 1
"33" 111052 "Neighbor/friend" 5
"34" 111053 "Neighbor/friend" 5
"35" 111054 "Neighbor/friend" 4
"36" 111055 "Neighbor/friend" 4
"37" 111056 "Neighbor/friend" 5
"38" 111057 "Neighbor/friend" 5
"39" 111058 "Neighbor/friend" 4
"40" 111061 "Neighbor/friend" 5
"41" 111063 "Neighbor/friend" 4
"42" 111064 "Neighbor/friend" 4
"43" 111066 "Neighbor/friend" 5
"44" 111069 "Neighbor/friend" 1
"45" 111073 "Neighbor/friend" 3
"46" 111074 "Neighbor/friend" 5
"47" 111076 "Neighbor/friend" 2
"48" 111077 "Neighbor/friend" 2
"49" 111079 "Neighbor/friend" 2
"50" 111083 "Neighbor/friend" 2
"51" 111085 "Neighbor/friend" 1
"52" 111086 "Neighbor/friend" 2
"53" 111087 "Neighbor/friend" 5
"54" 111089 "Neighbor/friend" 2
"55" 111091 "Neighbor/friend" 5
"56" 111093 "Neighbor/friend" 2
"57" 111094 "Neighbor/friend" 4
"58" 111095 "Neighbor/friend" 2
"59" 111098 "Neighbor/friend" 3
"60" 111001 "Weekly market vendor" 2
"61" 111003 "Weekly market vendor" 5
"62" 111008 "Weekly market vendor" 3
"63" 111011 "Weekly market vendor" 5
"64" 111013 "Weekly market vendor" 5
"65" 111019 "Weekly market vendor" 5
"66" 111021 "Weekly market vendor" 2
"67" 111022 "Weekly market vendor" 5
"68" 111023 "Weekly market vendor" 5
"69" 111026 "Weekly market vendor" 2
"70" 111030 "Weekly market vendor" 5
"71" 111031 "Weekly market vendor" 5
