"id" "var" "value"
"1" "Chief" "Farmers" 5
"2" "Farmers" "Farmers" 5
"3" "Neighbor/friend" "Farmers" 4
"4" "Weekly market vendor" "Farmers" 5
"5" "Urban vendor" "Farmers" 5
"6" "Vendor in agro-vet shop" "Farmers" 2
"7" "Teacher" "Farmers" 5
"8" "Religious leader" "Farmers" 5
"9" "Extension agent" "Farmers" 5
"10" "NGO agent" "Farmers" 5
"11" "Vet service provider" "Farmers" 5
"12" "Gvt parastatal" "Farmers" 4
"13" "Ag researcher" "Farmers" 5
"14" "Microfinance rep" "Farmers" 2
"15" "Tractor owner" "Farmers" 4
"16" "Farmer org. leader" "Farmers" 5
"17" "Youth org. leader" "Farmers" 2
"18" "Local politican" "Farmers" 5
"19" "Tractor owner" "Neighbor/friend" 3
"20" "Farmer org. leader" "Neighbor/friend" 5
"21" "Women's org. leader" "Neighbor/friend" 5
"22" "Farmers" "Weekly market vendor" 3
"23" "Teacher" "Weekly market vendor" 5
"24" "Extension agent" "Weekly market vendor" 4
"25" "NGO agent" "Weekly market vendor" 5
"26" "Ag researcher" "Weekly market vendor" 2
"27" "Tractor owner" "Weekly market vendor" 3
"28" "Farmer org. leader" "Weekly market vendor" 5
"29" "Chief" "Urban vendor" 5
"30" "Neighbor/friend" "Urban vendor" 3
"31" "Weekly market vendor" "Urban vendor" 3
"32" "Urban vendor" "Urban vendor" 5
"33" "Vendor in agro-vet shop" "Urban vendor" 1
"34" "Teacher" "Urban vendor" 2
"35" "Religious leader" "Urban vendor" 5
"36" "Extension agent" "Urban vendor" 3
"37" "NGO agent" "Urban vendor" 2
"38" "Vet service provider" "Urban vendor" 5
"39" "Gvt parastatal" "Urban vendor" 2
"40" "Ag researcher" "Urban vendor" 2
"41" "Microfinance rep" "Urban vendor" 3
"42" "Tractor owner" "Urban vendor" 5
"43" "Farmer org. leader" "Urban vendor" 3
"44" "Women's org. leader" "Urban vendor" 2
"45" "Local politican" "Urban vendor" 1
"46" "Chief" "Vendor in agro-vet shop" 4
"47" "Farmers" "Vendor in agro-vet shop" 2
"48" "Neighbor/friend" "Vendor in agro-vet shop" 5
"49" "Weekly market vendor" "Vendor in agro-vet shop" 2
"50" "Urban vendor" "Vendor in agro-vet shop" 5
"51" "Teacher" "Vendor in agro-vet shop" 2
"52" "Religious leader" "Vendor in agro-vet shop" 5
"53" "Extension agent" "Vendor in agro-vet shop" 3
"54" "Gvt parastatal" "Vendor in agro-vet shop" 2
