"id" "var" "value"
"1" 211001 "Farmers" 5
"2" 211002 "Farmers" 5
"3" 211003 "Farmers" 5
"4" 211004 "Farmers" 2
"5" 211005 "Farmers" 2
"6" 211006 "Farmers" 2
"7" 211007 "Farmers" 2
"8" 211009 "Farmers" 2
"9" 211013 "Farmers" 5
"10" 211014 "Farmers" 5
"11" 211015 "Farmers" 5
"12" 211018 "Farmers" 3
"13" 211019 "Farmers" 2
"14" 211020 "Farmers" 2
"15" 211021 "Farmers" 2
"16" 211024 "Farmers" 5
"17" 211025 "Farmers" 5
"18" 211026 "Farmers" 5
"19" 211039 "Farmers" 5
"20" 211040 "Farmers" 5
"21" 211045 "Farmers" 2
"22" 211047 "Farmers" 5
"23" 211048 "Farmers" 5
"24" 211049 "Farmers" 5
"25" 211050 "Farmers" 5
"26" 211051 "Farmers" 2
"27" 211151 "Farmers" 5
"28" 211152 "Farmers" 5
"29" 211153 "Farmers" 5
"30" 211154 "Farmers" 5
"31" 211155 "Farmers" 5
"32" 211156 "Farmers" 5
"33" 211157 "Farmers" 5
"34" 211159 "Farmers" 5
"35" 211167 "Farmers" 1
"36" 211168 "Farmers" 3
"37" 211172 "Farmers" 3
"38" 211173 "Farmers" 5
"39" 211175 "Farmers" 3
"40" 211176 "Farmers" 4
"41" 211178 "Farmers" 4
"42" 211179 "Farmers" 5
"43" 211180 "Farmers" 4
"44" 211181 "Farmers" 5
"45" 211182 "Farmers" 3
"46" 211186 "Farmers" 2
"47" 211187 "Farmers" 2
"48" 211188 "Farmers" 2
"49" 211189 "Farmers" 2
"50" 211190 "Farmers" 2
"51" 211192 "Farmers" 2
"52" 211001 "Neighbor/friend" 2
"53" 211002 "Neighbor/friend" 5
"54" 211003 "Neighbor/friend" 5
"55" 211006 "Neighbor/friend" 5
"56" 211009 "Neighbor/friend" 5
"57" 211013 "Neighbor/friend" 5
"58" 211015 "Neighbor/friend" 4
"59" 211018 "Neighbor/friend" 3
"60" 211019 "Neighbor/friend" 2
"61" 211021 "Neighbor/friend" 2
