"id" "var" "value"
"1" "Chief" "Farmers" 5
"2" "Farmers" "Farmers" 5
"3" "Neighbor/friend" "Farmers" 5
"4" "Weekly market vendor" "Farmers" 5
"5" "Urban vendor" "Farmers" 5
"6" "Vendor in agro-vet shop" "Farmers" 5
"7" "Teacher" "Farmers" 3
"8" "Religious leader" "Farmers" 5
"9" "Extension agent" "Farmers" 4
"10" "NGO agent" "Farmers" 2
"11" "Vet service provider" "Farmers" 4
"12" "Gvt parastatal" "Farmers" 5
"13" "Ag researcher" "Farmers" 2
"14" "Microfinance rep" "Farmers" 4
"15" "Tractor owner" "Farmers" 5
"16" "Farmer org. leader" "Farmers" 5
"17" "Women's org. leader" "Farmers" 5
"18" "Youth org. leader" "Farmers" 5
"19" "Local politican" "Farmers" 5
"20" "Chief" "Neighbor/friend" 4
"21" "Farmers" "Neighbor/friend" 5
"22" "Neighbor/friend" "Neighbor/friend" 5
"23" "Weekly market vendor" "Neighbor/friend" 5
"24" "Urban vendor" "Neighbor/friend" 5
"25" "Vendor in agro-vet shop" "Neighbor/friend" 2
"26" "Teacher" "Neighbor/friend" 3
"27" "Religious leader" "Neighbor/friend" 5
"28" "Extension agent" "Neighbor/friend" 5
"29" "NGO agent" "Neighbor/friend" 5
"30" "Vet service provider" "Neighbor/friend" 4
"31" "Microfinance rep" "Neighbor/friend" 5
"32" "Local politican" "Neighbor/friend" 2
"33" "0" "0" 0
"34" "Farmers" "Weekly market vendor" 5
"35" "Neighbor/friend" "Weekly market vendor" 5
"36" "Weekly market vendor" "Weekly market vendor" 5
"37" "Urban vendor" "Weekly market vendor" 4
"38" "Vendor in agro-vet shop" "Weekly market vendor" 3
"39" "Teacher" "Weekly market vendor" 4
"40" "Religious leader" "Weekly market vendor" 5
"41" "Extension agent" "Weekly market vendor" 5
"42" "NGO agent" "Weekly market vendor" 2
"43" "Gvt parastatal" "Weekly market vendor" 5
"44" "Microfinance rep" "Weekly market vendor" 5
"45" "Farmer org. leader" "Weekly market vendor" 5
"46" "Women's org. leader" "Weekly market vendor" 5
"47" "Chief" "Urban vendor" 3
"48" "Weekly market vendor" "Urban vendor" 5
"49" "Urban vendor" "Urban vendor" 5
"50" "Teacher" "Urban vendor" 5
"51" "Religious leader" "Urban vendor" 5
"52" "Extension agent" "Urban vendor" 5
"53" "Ag researcher" "Urban vendor" 3
"54" "Tractor owner" "Urban vendor" 2
"55" "Farmer org. leader" "Urban vendor" 5
"56" "Women's org. leader" "Urban vendor" 5
